"activityType","startTimestamp","endTimestamp","kilometers","hours","speed","timeOfDay","weekday","weekOfYear","month"
"CYCLING",2022-04-22 13:35:02,2022-04-22 13:57:16,5.26691821399845,0.370555555555556,14.2135723916,"Afternoon","Friday",16,"April"
"CYCLING",2022-04-22 19:34:01,2022-04-22 19:48:32,2.81571542213347,0.241944444444444,11.6378593796562,"Evening","Friday",16,"April"
"CYCLING",2022-04-22 20:02:11,2022-04-22 20:18:42,3.69692956214286,0.275277777777778,13.429814756523,"Evening","Friday",16,"April"
"CYCLING",2022-04-23 10:33:15,2022-04-23 10:50:00,3.64292212139613,0.279166666666667,13.0492732706727,"Morning","Saturday",17,"April"
"CYCLING",2022-04-23 20:07:50,2022-04-23 20:28:23,3.8794392132623,0.3425,11.3268298197439,"Evening","Saturday",17,"April"
"CYCLING",2022-04-24 12:35:55,2022-04-24 12:55:20,3.32055330016491,0.323611111111111,10.2609372365611,"Morning","Sunday",17,"April"
"CYCLING",2022-04-24 13:22:50,2022-04-24 14:46:11,6.80782045147412,1.38916666666667,4.90065059494238,"Afternoon","Sunday",17,"April"
"CYCLING",2022-04-24 15:05:37,2022-04-24 15:16:35,1.86064417402895,0.182777777777778,10.1798161497025,"Afternoon","Sunday",17,"April"
"CYCLING",2022-04-24 15:29:05,2022-04-24 15:54:16,3.09727119024492,0.419722222222222,7.37933572791642,"Afternoon","Sunday",17,"April"
"CYCLING",2022-04-25 12:19:19,2022-04-25 12:41:00,5.72771898734114,0.361388888888889,15.8491839772699,"Morning","Monday",17,"April"
"CYCLING",2022-04-25 13:39:03,2022-04-25 13:59:28,3.04706319550906,0.340277777777778,8.95463469700622,"Afternoon","Monday",17,"April"
"CYCLING",2022-04-25 14:08:02,2022-04-25 14:19:10,0.80536939796511,0.185555555555556,4.34031412077005,"Afternoon","Monday",17,"April"
"CYCLING",2022-04-25 14:55:39,2022-04-25 15:18:29,3.89156187188224,0.380555555555556,10.2260019991066,"Afternoon","Monday",17,"April"
"CYCLING",2022-04-25 15:36:02,2022-04-25 15:46:17,2.01437529420326,0.170833333333333,11.7914651367996,"Afternoon","Monday",17,"April"
"CYCLING",2022-04-25 16:19:21,2022-04-25 16:34:07,3.31282746298059,0.246111111111111,13.4606984951807,"Afternoon","Monday",17,"April"
"CYCLING",2022-04-25 21:52:51,2022-04-25 22:16:38,5.43768486833639,0.396388888888889,13.7180557295102,"Evening","Monday",17,"April"
"CYCLING",2022-04-26 12:42:25,2022-04-26 13:03:19,6.10159517887835,0.348333333333333,17.5165411833828,"Morning","Tuesday",17,"April"
"CYCLING",2022-04-26 18:40:15,2022-04-26 19:00:35,4.79931471405859,0.338888888888889,14.1619122709925,"Afternoon","Tuesday",17,"April"
